number,description,department,type,brand,unit_type
64027-20,Used COGS Motorcycles-Suzuki,8,2,7,137
64025-20,Used COGS Motorcycles-Polaris,8,2,16,169
64023-20,Used COGS Motorcycles-Kawasaki,8,2,6,137
64021-20,Used COGS Motorcycles-Honda,8,2,3,137
64015-20,Used COGS Motorcycles-Victory,8,2,19,137
64013-20,Used COGS Motorcycles-Indian,8,2,46,137
64010-20,Used COGS HD-Other,8,2,23,171
64009-20,Used COGS HD-PANAM,8,2,23,171
64008-20,Used COGS HD-Trike,8,2,23,171
64007-20,Used COGS HD-CVO,8,2,23,171
64006-20,Used COGS HD-Street,8,2,23,171
64005-20,Used COGS HD-Adventure,8,2,23,171
64004-20,Used COGS HD-Sportster,8,2,23,171
64003-20,Used COGS HD-Dyna,8,2,23,171
64002-20,Used COGS HD-Softail,8,2,23,171
64001-20,Used COGS HD-Touring,8,2,23,171
64000-20,Used COGS Motorcycles-,8,2,33,137
63920-10,New Unit Adjustment,3,2,52,175
63910-10,New Unit Wholesale- COGS,3,2,33,153
63900-10,New Unit COGS,3,2,33,150
63890-10,New COGS Other-,3,2,33,153
63840-10,New COGS Carts/Cars,3,2,138,145
63830-10,New COGS Engine,3,2,138,162
63820-10,New COGS Generator-Generator,3,2,44,145
63810-10,New COGS Trailer-,3,2,13,139
63800-10,New COGS Other-,3,2,21,145
63733-10,New COGS Snowmobile-BRP,3,2,4,149
63725-10,New COGS Snowmobile-Polaris,3,2,16,149
63700-10,New COGS Snowmobile-,3,2,33,149
63633-10,New COGS PWC-BRP,3,2,4,146
63629-10,New COGS PWC-Yamaha,3,2,8,146
63623-10,New COGS PWC-Kawasaki,3,2,6,146
63600-10,New COGS PWC-,3,2,33,146
63573-10,New COGS Boats-Ranger,3,2,93,151
63571-10,New COGS Boats-TideWater,3,2,33,151
63569-10,New COGS Boats-Manitou,3,2,78,151
63567-10,New COGS Boats-Alumacraft,3,2,82,151
63565-10,New COGS Boats-Mercury Marine,3,2,86,151
63563-10,New COGS Boats-Wellcraft,3,2,33,151
63561-10,New COGS Boats-Scarab,3,2,77,151
63533-10,New COGS Boats-BRP,3,2,4,151
63529-10,New COGS Boats-Yamaha,3,2,8,151
63500-10,New COGS Boats-,3,2,33,151
63453-10,New COGS UTV-Segway,3,2,167,145
63449-10,New COGS UTV-CFMoto,3,2,44,145
63447-10,New COGS UTV-SpeedUTV,3,2,33,145
63443-10,New COGS UTV-SSR,3,2,55,145
63441-10,New COGS UTV-Hisun,3,2,113,145
63433-10,New COGS UTV-BRP,3,2,4,145
63429-10,New COGS UTV-Yamaha,3,2,8,145
63425-10,New COGS UTV-Polaris,3,2,16,145
63423-10,New COGS UTV-Kawasaki,3,2,6,145
63421-10,New COGS UTV-Honda,3,2,3,145
63400-10,New COGS UTV-,3,2,33,145
63353-10,New COGS ATV-Segway,3,2,167,162
63349-10,New COGS ATV-CFMoto,3,2,44,162
63345-10,New COGS ATV-Kayo,3,2,131,162
63343-10,New COGS ATV-SSR,3,2,55,162
63341-10,New COGS ATV-Hisun,3,2,113,162
63337-10,New COGS ATV-KTM,3,2,14,162
63333-10,New COGS ATV-BRP,3,2,4,162
63329-10,New COGS ATV-Yamaha,3,2,8,162
63327-10,New COGS ATV-Suzuki,3,2,7,162
63325-10,New COGS ATV-Polaris,3,2,16,162
63323-10,New COGS ATV-Kawasaki,3,2,6,162
63321-10,New COGS ATV-Honda,3,2,3,162
63300-10,New COGS ATV-,3,2,33,162
63253-10,New COGS Dirt Bikes-Segway,3,2,167,139
63245-10,New COGS Dirt Bikes-Kayo,3,2,131,139
63243-10,New COGS Dirt Bikes-SSR,3,2,55,139
63237-10,New COGS Dirt Bikes-KTM,3,2,14,139
63229-10,New COGS Dirt Bikes-Yamaha,3,2,8,139
63227-10,New COGS Dirt Bikes-Suzuki,3,2,7,139
63223-10,New COGS Dirt Bikes-Kawasaki,3,2,6,139
63221-10,New COGS Dirt Bikes-Honda,3,2,3,139
63200-10,New COGS Dirt Bikes-,3,2,33,139
63153-10,New COGS Scooter-Segway,3,2,167,143
63143-10,New COGS Scooter-SSR,3,2,55,143
63129-10,New COGS Scooter-Yamaha,3,2,8,143
63127-10,New COGS Scooter-Suzuki,3,2,7,143
63121-10,New COGS Scooter-Honda,3,2,3,143
63100-10,New COGS Scooter-,3,2,33,143
63052-10,New COGS Motorcycles-Vanderhall,3,2,76,169
63051-10,New COGS Motorcycles-Zero,3,2,45,140
63049-10,New COGS Motorcycles-CFMoto,3,2,44,137
63043-10,New COGS Motorcycles-SSR/Benelli,3,2,55,137
63039-10,New COGS Motorcycles-Triumph,3,2,17,137
63037-10,New COGS Motorcycles-KTM,3,2,14,137
63035-10,New COGS Motorcycles-Ducati,3,2,11,137
63033-10,New COGS Motorcycles-BRP,3,2,4,169
63031-10,New COGS Motorcycles-BMW,3,2,10,137
63029-10,New COGS Motorcycles-Yamaha,3,2,8,137
63027-10,New COGS Motorcycles-Suzuki,3,2,7,137
63025-10,New COGS Motorcycles-Polaris,3,2,16,169
63023-10,New COGS Motorcycles-Kawasaki,3,2,6,137
63021-10,New COGS Motorcycles-Honda,3,2,3,170
63015-10,New COGS Motorcycles-Victory,3,2,19,137
63013-10,New COGS Motorcycles-Indian,3,2,46,137
63010-10,New COGS HD-Other,3,2,7,162
63009-10,New COGS HD-PanAm,3,2,23,171
63008-10,New COGS HD-Trike,3,2,23,171
63007-10,New COGS HD-CVO,3,2,23,171
63006-10,New COGS HD-Street,3,2,23,171
63005-10,New COGS HD-Vrod,3,2,23,171
63004-10,New COGS HD-Sportster,3,2,23,171
63003-10,New COGS HD-Dyna,3,2,23,171
63002-10,New COGS HD-Softail,3,2,23,171
63001-10,New COGS HD-Touring,3,2,23,171
63000-10,New COGS Motorcycles-,3,2,33,137
24910,Used Inventory - Reserve,8,3,33,173
24900,"Used Inventory - Misc, Adj, Etc",8,3,33,173
24890,Used Inventory Other-,8,3,33,153
24840,Used Inventory Carts/Cars,8,3,33,153
24830,Used Inventory Engine-,8,3,33,152
24820,Used Inventory Generator-,8,3,33,152
24810,Used Inventory Trailer-,8,3,33,150
24800,Used Inventory-,8,3,33,150
24779,Used Inventory Snowmobile-Other,8,3,33,149
24733,Used Inventory Snowmobile-BRP,8,3,4,149
24725,Used Inventory Snowmobile-Polaris,8,3,16,149
24700,Used Inventory Snowmobile-,8,3,33,149
24679,Used Inventory PWC-Other,8,3,33,146
24633,Used Inventory PWC-BRP,8,3,4,146
24629,Used Inventory PWC-Yamaha,8,3,8,146
24623,Used Inventory PWC-Kawasaki,8,3,6,146
24600,Used Inventory PWC-,8,3,33,146
24579,Used Inventory Boats-Other,8,3,33,151
24573,Used Inventory Boats-Ranger,8,3,33,151
24571,Used Inventory Boats-TideWater,8,3,33,151
24569,Used Inventory Boats-Manitou,8,3,78,151
24567,Used Inventory Boats-Alumacraft,8,3,82,151
24565,Used Inventory Boats-Mercury Marine,8,3,86,151
24563,Used Inventory Boats-Wellcraft,8,3,33,151
24561,Used Inventory Boats-Scarab,8,3,77,151
24533,Used Inventory Boats-BRP,8,3,4,151
24529,Used Inventory Boats-Yamaha,8,3,8,151
24500,Used Inventory Boats-,8,3,33,151
24479,Used Inventory UTV-Other,8,3,33,145
24453,Used Inventory UTV-Segway,8,3,167,145
24447,Used Inventory UTV-Speed,8,3,33,145
24449,Used Inventory UTV-CFMoto,8,3,44,145
24443,Used Inventory UTV-SSR,8,3,55,145
24441,Used Inventory UTV-Hisun,8,3,113,145
24433,Used Inventory UTV-BRP,8,3,4,145
24429,Used Inventory UTV-Yamaha,8,3,8,145
24425,Used Inventory UTV-Polaris,8,3,16,145
24423,Used Inventory UTV-Kawasaki,8,3,6,145
24421,Used Inventory UTV-Honda,8,3,3,145
24400,Used Inventory UTV-,8,3,33,145
24379,Used Inventory ATV-Other,8,3,33,162
24353,Used Inventory ATV-Segway,8,3,167,162
24349,Used Inventory ATV-CFMoto,8,3,44,162
24345,Used Inventory ATV-Kayo,8,3,131,162
24343,Used Inventory ATV-SSR,8,3,55,162
24341,Used Inventory ATV-Hisun,8,3,113,162
24337,Used Inventory ATV-KTM,8,3,14,162
24333,Used Inventory ATV-BRP,8,3,4,162
24329,Used Inventory ATV-Yamaha,8,3,8,162
24327,Used Inventory ATV-Suzuki,8,3,7,162
24325,Used Inventory ATV-Polaris,8,3,16,162
24323,Used Inventory ATV-Kawasaki,8,3,6,162
24321,Used Inventory ATV-Honda,8,3,3,162
24300,Used Inventory ATV-,8,3,33,162
24279,Used Inventory Dirt Bikes-Other,8,3,33,139
24253,Used Inventory Dirt Bikes-Segway,8,3,167,139
24245,Used Inventory Dirt Bikes-Kayo,8,3,131,139
24243,Used Inventory Dirt Bikes-SSR,8,3,55,139
24237,Used Inventory Dirt Bikes-KTM,8,3,14,139
24229,Used Inventory Dirt Bikes-Yamaha,8,3,8,139
24227,Used Inventory Dirt Bikes-Suzuki,8,3,7,139
24223,Used Inventory Dirt Bikes-Kawasaki,8,3,6,139
24221,Used Inventory Dirt Bikes-Honda,8,3,3,139
24200,Used Inventory Dirt Bikes-,8,3,33,139
24179,Used Inventory Scooter-Other,8,3,33,143
24153,Used Inventory Scooter-Segway,8,3,167,143
24143,Used Inventory Scooter-SSR,8,3,55,143
24129,Used Inventory Scooter-Yamaha,8,3,8,143
24127,Used Inventory Scooter-Suzuki,8,3,7,143
24121,Used Inventory Scooter-Honda,8,3,3,143
24100,Used Inventory Scooter-,8,3,33,143
24079,Used Inventory Motorcycles-Other,8,3,33,137
24052,Used Inventory Motorcycles-Vanderhall,8,3,76,169
24051,Used Inventory Motorcycles-Zero,8,3,45,140
24049,Used Inventory Motorcycles-CFMOTO,8,3,44,137
24043,Used Inventory Motorcycles-SSR/Benelli,8,3,55,137
24039,Used Inventory Motorcycles-Triumph,8,3,17,137
24037,Used Inventory Motorcycles-KTM,8,3,14,137
24035,Used Inventory Motorcycles-Ducati,8,3,11,137
24033,Used Inventory Motorcycles-BRP,8,3,4,169
24031,Used Inventory Motorcycles-BMW,8,3,10,137
24029,Used Inventory Motorcycles-Yamaha,8,3,8,137
24027,Used Inventory Motorcycles-Suzuki,8,3,7,137
24025,Used Inventory Motorcycles-Polaris,8,3,16,169
24023,Used Inventory Motorcycles-Kawasaki,8,3,6,137
24021,Used Inventory Motorcycles-Honda,8,3,3,137
24015,Used Inventory Motorcycles-Victory,8,3,19,137
24013,Used Inventory Motorcycles-Indian,8,3,46,137
24010,Used Inventory HD,8,3,23,171
24009,Used Inventory HD-PAMAM,8,3,23,171
24008,Used Inventory HD-Trike,8,3,23,171
24007,Used Inventory HD-CVO,8,3,23,171
24006,Used Inventory HD-Street,8,3,23,171
24005,Used Inventory HD-VROD,8,3,23,171
24004,Used Inventory HD-Sportster,8,3,23,171
24003,Used Inventory HD-Dyna,8,3,23,171
24002,Used Inventory HD-Softail,8,3,23,171
24001,Used Inventory HD-Touring,8,3,23,171
24000,Used Inventory - Motorcycles,8,3,33,137
23950,Demontrator/Training Unit,3,3,33,185
23910,New Inventory - Reserve,3,3,52,175
23900,"New Inventory - Misc, Adj, etc.",3,3,4,146
23890,New Inventory Other-,3,3,33,153
23840,New Inventory Cart/Cars,3,3,33,153
23830,New Inventory Engine-,3,3,33,152
23820,New Inventory Generator-,3,3,33,152
23810,New Inventory Trailer-,3,3,33,150
23800,New Inventory Other-,3,3,100,151
23733,New Inventory Snowmobile-BRP,3,3,4,149
23725,New Inventory Snowmobile-Polaris,3,3,16,149
23700,New Inventory Snowmobile-,3,3,33,149
23633,New Inventory PWC-BRP,3,3,4,146
23629,New Inventory PWC-Yamaha,3,3,8,146
23623,New Inventory PWC-Kawasaki,3,3,6,146
23600,New Inventory PWC-,3,3,33,146
23573,New Inventory Boats-Ranger,3,3,93,151
23571,New Inventory Boats-TideWater,3,3,33,151
23569,New Inventory Boats-Manitou,3,3,78,151
23567,New Inventory Boats-Alumacraft,3,3,82,151
23565,New Inventory Boats-Mercury Marine,3,3,86,151
23563,New Inventory Boats-Wellcraft,3,3,33,151
23561,New Inventory Boats-Scarab,3,3,77,151
23533,New Inventory Boats-BRP,3,3,4,151
23529,New Inventory Boats-Yamaha,3,3,8,151
23500,New Inventory Boats-,3,3,33,151
23453,New Inventory UTV-SEGWAY,3,3,167,145
23449,New Inventory UTV-CFMoto,3,3,44,145
23447,New Inventory UTV-SpeedUTV,3,3,33,145
23443,New Inventory UTV-SSR,3,3,55,145
23441,New Inventory UTV-Hisun,3,3,113,145
23433,New Inventory UTV-BRP,3,3,4,145
23429,New Inventory UTV-Yamaha,3,3,8,145
23425,New Inventory UTV-Polaris,3,3,16,145
23423,New Inventory UTV-Kawasaki,3,3,6,145
23421,New Inventory UTV-Honda,3,3,3,145
23400,New Inventory UTV-,3,3,33,145
23353,New Inventory ATV-Segway,3,3,167,162
23349,New Inventory ATV-CFMoto,3,3,44,162
23345,New Inventory ATV-Kayo,3,3,131,162
23343,New Inventory ATV-SSR,3,3,55,162
23341,New Inventory ATV-Hisun,3,3,113,162
23337,New Inventory ATV-KTM,3,3,14,162
23333,New Inventory ATV-BRP,3,3,4,162
23329,New Inventory ATV-Yamaha,3,3,8,162
23327,New Inventory ATV-Suzuki,3,3,7,162
23325,New Inventory ATV-Polaris,3,3,16,162
23323,New Inventory ATV-Kawasaki,3,3,6,162
23321,New Inventory ATV-Honda,3,3,3,162
23300,New Inventory ATV-Other,3,3,33,162
23253,Used Inventory Scooter-Segway,3,3,167,139
23245,New Inventory Dirt Bikes-Kayo,3,3,131,139
23243,New Inventory Dirt Bikes-SSR,3,3,55,139
23237,New Inventory Dirt Bikes-KTM,3,3,14,139
23229,New Inventory Dirt Bikes-Yamaha,3,3,8,139
23227,New Inventory Dirt Bikes-Suzuki,3,3,7,139
23223,New Inventory Dirt Bikes-Kawasaki,3,3,6,139
23221,New Inventory Dirt Bikes-Honda,3,3,3,139
23200,New Inventory Dirt Bikes-Other,3,3,33,139
23153,New Inventory  Scooter - Segway,3,3,167,143
23143,New Inventory Scooter-SSR,3,3,55,143
23129,New Inventory Scooter-Yamaha,3,3,8,143
23127,New Inventory Scooter-Suzuki,3,3,7,143
23121,New Inventory Scooter-Honda,3,3,3,143
23100,New Inventory Scooter-Other,3,3,33,143
23052,New Inventory Motorcycles-Vanderhall,3,3,76,169
23051,New Inventory Motorcycles-Zero,3,3,45,170
23049,New Inventory Motorcycles-CFMOTO,3,3,44,137
23043,New Inventory Motorcycles-SSR/Benelli,3,3,55,137
23039,New Inventory Motorcycles-Triumph,3,3,17,137
23037,New Inventory Motorcycles-KTM,3,3,14,137
23035,New Inventory Motorcycles-Ducati,3,3,11,137
23033,New Inventory Motorcycles-CanAm Spyder,3,3,4,169
23031,New Inventory Motorcycles-BMW,3,3,10,172
23029,New Inventory Motorcycles-Yamaha,3,3,8,137
23027,New Inventory Motorcycles-Suzuki,3,3,7,137
23025,New Inventory Motorcycles-Polaris,3,3,16,169
23023,New Inventory Motorcycles-Kawasaki,3,3,6,137
23021,New Inventory Motorcycles-Honda,3,3,3,170
23015,New Inventory Motorcycles-Victory,3,3,19,137
23013,New Inventory Motorcycles-Indian,3,3,46,172
23010,New Inventory HD Motorcycles,3,3,33,143
23009,New Inventory HD-PanAm,3,3,23,171
23008,New Inventory HD-Trike,3,3,23,171
23007,New Inventory HD-CVO,3,3,23,171
23006,New Inventory HD-Street,3,3,23,171
23005,New Inventory HD-VROD,3,3,23,171
23004,New Inventory HD-Sportster,3,3,23,171
23003,New Inventory HD-Dyna,3,3,23,171
23002,New Inventory HD-Softail,3,3,23,171
23001,New Inventory HD-Touring,3,3,23,171
23000,New Inventory Motorcycles - Other,3,3,33,137
25200,Used Other Products Inventory,8,3,33,153
25090,Used Other Inventory,8,3,33,153
25080,Used Power Equipment Inventory,8,3,33,152
25070,Used Trailer Inventory,8,3,33,150
25060,Used PWC Inventory,8,3,33,146
25055,Used Sportboat Inventory,8,3,33,151
25050,Used Boat Inventory,8,3,33,151
25040,Used UTV Inventory,8,3,33,145
25030,Used ATV Inventory,8,3,33,162
25020,Used Scooter Inventory,8,3,33,143
25010,Used Motorcycle Inventory,8,3,33,172
25000,"Used Motorcycle, ATV, Scooter Inventory",8,3,33,170
23940,New Lehman Trikes,3,3,103,169
23550,New Bayliner Inventory,3,3,79,151
23350,New Diamo Inventory,3,3,33,145
23250,New Suzuki Inventory,3,3,7,172
23150,New Crownline Inventory,3,3,98,151
23090,New Other Inventory,3,3,33,153
23085,New Vehicle Inventory,3,3,33,170
23080,New Trailer Inventory,3,3,33,150
23075,New Generator Inventory,3,3,33,152
23070,New Power Equipment Inventory,3,3,33,152
23065,New Lawn & Garden Inventory,3,3,33,152
23060,New Engine Inventory,3,3,33,152
23050,New PWC Inventory,3,3,33,146
23045,New Sportboat Inventory,3,3,33,151
23040,New Boat Inventory,3,3,33,151
23030,New UTV Inventory,3,3,33,145
23020,New ATV Inventory,3,3,33,162
OFFSET-COMP,Offset Memo Account,3,1,52,191
WHOLESALEMU-COMP,Used Major Unit Sold Counts - Wholesale,8,1,52,175
USEDMU-COMP,Used Major Unit Sold Counts - Retail,8,1,52,175
NEWMU-COMP,New Major Unit Sold Counts - Retail,3,1,52,191
44910-20,Used Unit Wholesale,8,1,33,173
44900-20,Used Unit Wholesale -Interstore,8,1,33,173
44890-20,Used Sales Other-,8,1,33,153
44840-20,Used Sales Car/Carts,8,1,33,194
44830-20,Used Sales Engine,8,1,33,152
44820-20,Used Sales Generator-,8,1,33,152
44810-20,Used Sales Trailer-,8,1,33,150
44800-20,"Used Sales-Trailer, Generator, etc.",8,1,33,152
44779-20,Used Sales Snowmobile-Other,8,1,33,149
44733-20,Used Sales Snowmobile-BRP,8,1,4,149
44725-20,Used Sales Snowmobile-Polaris,8,1,16,149
44700-20,Used Sales Snowmobile-,8,1,33,149
44679-20,Used Sales PWC-Other,8,1,33,146
44633-20,Used Sales PWC-BRP,8,1,4,146
44629-20,Used Sales PWC-Yamaha,8,1,8,146
44623-20,Used Sales PWC-Kawasaki,8,1,6,146
44600-20,Used Sales PWC-,8,1,33,146
44579-20,Used Sales Boats-Other,8,1,33,151
44573-20,Used Sales Boats-Ranger,8,1,33,151
44571-20,Used Sales Boats-TideWater,8,1,33,151
44569-20,Used Sales Boats-Manitou,8,1,78,151
44567-20,Used Sales Boats-Alumacraft,8,1,82,151
44565-20,Used Sales Boats-Mercury Marine,8,1,86,151
44563-20,Used Sales Boats-Wellcraft,8,1,33,151
44561-20,Used Sales Boats-Scarab,8,1,77,151
44533-20,Used Sales Boats-BRP,8,1,4,151
44529-20,Used Sales Boats-Yamaha,8,1,8,151
44500-20,Used Sales Boats-,8,1,33,151
44479-20,Used Sales UTV-Other,8,1,33,145
44453-20,Used Sales UTV-Segway,8,1,167,145
44449-20,Used Sales UTV-CFMoto,8,1,44,145
44447-20,Used Sales UTV-SpeedUTV,8,1,33,145
44443-20,Used Sales UTV-SSR,8,1,55,145
44441-20,Used Sales UTV-Hisun,8,1,113,145
44433-20,Used Sales UTV-BRP,8,1,4,145
44429-20,Used Sales UTV-Yamaha,8,1,8,145
44425-20,Used Sales UTV-Polaris,8,1,16,145
44423-20,Used Sales UTV-Kawasaki,8,1,6,145
44421-20,Used Sales UTV-Honda,8,1,3,145
44400-20,Used Sales UTV-,8,1,33,145
44379-20,Used Sales ATV-Other,8,1,33,162
44353-20,Used Sales ATV-Segway,8,1,167,162
44349-20,Used Sales ATV-CFMoto,8,1,44,162
44345-20,Used Sales ATV-Kayo,8,1,131,162
44343-20,Used Sales ATV-SSR,8,1,55,162
44341-20,Used Sales ATV-Hisun,8,1,113,162
44337-20,Used Sales ATV-KTM,8,1,14,162
44333-20,Used Sales ATV-BRP,8,1,4,162
44329-20,Used Sales ATV-Yamaha,8,1,8,162
44327-20,Used Sales ATV-Suzuki,8,1,7,162
44325-20,Used Sales ATV-Polaris,8,1,16,162
44323-20,Used Sales ATV-Kawasaki,8,1,6,162
44321-20,Used Sales ATV-Honda,8,1,3,162
44300-20,Used Sales ATV-,8,1,33,162
44279-20,Used Sales Dirt Bikes-Other,8,1,33,139
44253-20,Used Sales Dirt Bikes-Segway,8,1,167,139
44245-20,Used Sales Dirt Bikes-Kayo,8,1,131,139
44243-20,Used Sales Dirt Bikes-SSR,8,1,55,139
44237-20,Used Sales Dirt Bikes-KTM,8,1,14,139
44229-20,Used Sales Dirt Bikes-Yamaha,8,1,8,139
44227-20,Used Sales Dirt Bikes-Suzuki,8,1,7,139
44223-20,Used Sales Dirt Bikes-Kawasaki,8,1,6,139
44221-20,Used Sales Dirt Bikes-Honda,8,1,3,139
44200-20,Used Sales Dirt Bikes-,8,1,33,139
44179-20,Used Sales Scooter-Other,8,1,33,143
44153-20,Used Sales Scooter-Segway,8,1,167,143
44143-20,Used Sales Scooter-SSR,8,1,55,143
44129-20,Used Sales Scooter-Yamaha,8,1,8,143
44127-20,Used Sales Scooter-Suzuki,8,1,7,143
44121-20,Used Sales Scooter-Honda,8,1,3,143
44100-20,Used Sales Scooter-,8,1,33,143
44079-20,Used Sales Motorcycles-Other,8,1,33,137
44052-20,Used Sales Motorcycles-Vanderhall,8,1,76,169
44051-20,Used Sales Motorcycles-Zero,8,1,45,140
44049-20,Used Sales Motorcycles-CFMoto,8,1,44,137
44043-20,Used Sales Motorcycles-SSR/Benelli,8,1,55,137
44039-20,Used Sales Motorcycles-Triumph,8,1,17,137
44037-20,Used Sales Motorcycles-KTM,8,1,14,137
44035-20,Used Sales Motorcycles-Ducati,8,1,11,137
44033-20,Used Sales Motorcycles-BRP,8,1,4,169
44031-20,Used Sales Motorcycles-BMW,8,1,10,137
44029-20,Used Sales Motorcycles-Yamaha,8,1,8,137
44027-20,Used Sales Motorcycles-Suzuki,8,1,7,137
44025-20,Used Sales Motorcycles-Polaris,8,1,16,169
44023-20,Used Sales Motorcycles-Kawasaki,8,1,6,137
44021-20,Used Sales Motorcycles-Honda,8,1,3,137
44015-20,Used Sales Motorcycles-Victory,8,1,19,137
44013-20,Used Sales Motorcycles-Indian,8,1,46,137
44010-20,Used Sales HD-Other,8,1,23,153
44009-20,Used Sales HD-PANAM,8,1,23,171
44008-20,Used Sales HD-Trike,8,1,23,171
44007-20,Used Sales HD-CVO,8,1,23,171
44006-20,Used Sales HD-Street,8,1,23,171
44005-20,Used Sales HD-Vrod,8,1,23,171
44004-20,Used Sales HD-Sportster,8,1,23,171
44003-20,Used Sales HD-Dyna,8,1,23,171
44002-20,Used Sales HD-Softail,8,1,23,171
44001-20,Used Sales HD-Touring,8,1,23,171
44000-20,Used Sales Motorcycles,8,1,33,137
43910-10,New Unit Wholesale,3,1,33,153
43900-10,New Unit Wholesale,3,1,33,150
43890-10,New Sales Other-,3,1,33,153
43840-10,New Sales Carts/Cars,3,1,138,145
43830-10,New Sales Engine-,3,1,138,162
43820-10,New Sales Generator-Generator,3,1,33,152
43810-10,New Sales Trailer-,3,1,13,139
43800-10,New Sales Other-,3,1,21,145
43733-10,New Sales Snowmobile-BRP,3,1,4,149
43725-10,New Sales Snowmobile-Polaris,3,1,16,149
43700-10,New Sales Snowmobile-,3,1,33,149
43633-10,New Sales PWC-BRP,3,1,4,146
43629-10,New Sales PWC-Yamaha,3,1,8,146
43623-10,New Sales PWC-Kawasaki,3,1,6,146
43600-10,New Sales PWC-,3,1,33,146
43573-10,New Sales Boats-Ranger,3,1,93,151
43571-10,New Sales Boats-TideWater,3,1,33,151
43569-10,New Sales Boats-Manitou,3,1,78,151
43567-10,New Sales Boats-Alumacraft,3,1,82,151
43565-10,New Sales Boats-Mercury Marine,3,1,86,151
43563-10,New Sales Boats-Wellcraft,3,1,33,151
43561-10,New Sales Boats-Scarab,3,1,77,151
43533-10,New Sales Boats-BRP,3,1,4,151
43529-10,New Sales Boats-Yamaha,3,1,8,151
43500-10,New Sales Boats-,3,1,33,151
43453-10,New Sales UTV-Segway,3,1,167,145
43449-10,New Sales UTV-CFMoto,3,1,44,145
43447-10,New Sales UTV-SpeedUTV,3,1,33,145
43443-10,New Sales UTV-SSR,3,1,55,145
43441-10,New Sales UTV-Hisun,3,1,113,145
43433-10,New Sales UTV-BRP,3,1,4,145
43429-10,New Sales UTV-Yamaha,3,1,8,145
43425-10,New Sales UTV-Polaris,3,1,16,145
43423-10,New Sales UTV-Kawasaki,3,1,6,145
43421-10,New Sales UTV-Honda,3,1,3,145
43400-10,New Sales UTV-,3,1,33,145
43353-10,New Sales ATV-Segway,3,1,167,162
43349-10,New Sales ATV-CFMoto,3,1,44,162
43345-10,New Sales ATV-Kayo,3,1,131,162
43343-10,New Sales ATV-SSR,3,1,55,162
43341-10,New Sales ATV-Hisun,3,1,113,162
43337-10,New Sales ATV-KTM,3,1,14,162
43333-10,New Sales ATV-BRP,3,1,4,162
43329-10,New Sales ATV-Yamaha,3,1,8,162
43327-10,New Sales ATV-Suzuki,3,1,7,162
43325-10,New Sales ATV-Polaris,3,1,16,162
43323-10,New Sales ATV-Kawasaki,3,1,6,162
43321-10,New Sales ATV-Honda,3,1,3,162
43300-10,New Sales ATV-,3,1,33,162
43253-10,New Sales Dirt Bikes-Segway,3,1,167,139
43245-10,New Sales Dirt Bikes-Kayo,3,1,131,139
43243-10,New Sales Dirt Bikes-SSR,3,1,55,139
43237-10,New Sales Dirt Bikes-KTM,3,1,14,139
43229-10,New Sales Dirt Bikes-Yamaha,3,1,8,139
43227-10,New Sales Dirt Bikes-Suzuki,3,1,7,139
43223-10,New Sales Dirt Bikes-Kawasaki,3,1,6,139
43221-10,New Sales Dirt Bikes-Honda,3,1,3,139
43200-10,New Sales Dirt Bikes-,3,1,33,139
43153-10,New Sales Scooter-Segway,3,1,167,143
43143-10,New Sales Scooter-SSR,3,1,55,143
43129-10,New Sales Scooter-Yamaha,3,1,8,143
43127-10,New Sales Scooter-Suzuki,3,1,7,143
43121-10,New Sales Scooter-Honda,3,1,3,143
43100-10,New Sales Scooter-,3,1,33,143
43052-10,New Sales Motorcycles-Vanderhall,3,1,76,169
43051-10,New Sales Motorcycles-Zero,3,1,45,140
43049-10,New Sales Motorcycles-CFMoto,3,1,44,137
43043-10,New Sales Motorcycles-SSR/Benelli,3,1,55,137
43039-10,New Sales Motorcycles-Triumph,3,1,17,137
43037-10,New Sales Motorcycles-KTM,3,1,14,137
43035-10,New Sales Motorcycles-Ducati,3,1,11,137
43033-10,New Sales Motorcycles-BRP,3,1,4,169
43031-10,New Sales Motorcycles-BMW,3,1,10,137
43029-10,New Sales Motorcycles-Yamaha,3,1,8,137
43027-10,New Sales Motorcycles-Suzuki,3,1,7,137
43025-10,New Sales Motorcycles-Polaris,3,1,16,177
43023-10,New Sales Motorcycles-Kawasaki,3,1,6,137
43021-10,New Sales Motorcycles-Honda,3,1,3,137
43015-10,New Sales Motorcycles-Victory,3,1,19,137
43013-10,New Sales Motorcycles-Indian,3,1,46,172
43010-10,New Sales HD-Other,3,1,7,162
43009-10,New Sales HD-PamAm,3,1,23,171
43008-10,New Sales HD-Trike,3,1,23,171
43007-10,New Sales HD-CVO,3,1,23,171
43006-10,New Sales HD-Street,3,1,23,171
43005-10,New Sales HD-Vrod,3,1,23,171
43004-10,New Sales HD-Sportster,3,1,23,171
43003-10,New Sales HD-Dyna,3,1,23,171
43002-10,New Sales HD-Softail,3,1,23,171
43001-10,New Sales HD-Touring,3,1,23,171
43000-10,New Sales Motorcycles,3,1,33,137
OFFSET,Offset Memo Account,3,1,52,191
WHOLESALEMU,Used Major Unit Sold Counts - Wholesale,8,1,33,173
USEDMU,Used Major Unit Sold Counts - Retail,8,1,33,153
NEWMU,New Major Unit Sold Counts - Retail,3,1,33,153
43730-10,New Go Kart Sales,3,1,101,151
44995-10,Merchant Discounts Given,3,1,52,181
